Name,Matrices,Rows (av),Rows (min),Rows (max),Columns (av),Columns (min),Columns (max),Cells,Header,Extra,Valued,Boolean,Integer,Double,VariabilityConceptRef,Partial,Unknown,Empty,Inconsistent,And,Or,XOr
Comparison_of_desktop_application_launchers,4,5.176136363636363,2,13,4.3977272727272725,9,10,352,67,4,281,92,0,31,119,7,6,0,0,26,0,0
Comparison_of_desktop_publishing_software,4,8.55511811023622,11,21,3.423228346456693,5,10,508,86,28,394,326,9,0,22,10,0,3,0,24,0,0
Comparison_of_development_estimation_software,1,5.5,12,12,4.5,10,10,120,20,1,99,22,0,0,47,0,0,0,0,30,0,0
Comparison_of_DEX_software,1,4.0,9,9,9.5,20,20,180,27,1,152,120,7,0,17,0,0,5,0,2,1,0
Comparison_of_digital_SLRs,1,28.0,57,57,11.0,23,23,1311,77,24,1210,164,483,96,333,29,2,56,0,47,0,0
Comparison_of_disc_image_software,1,31.5,64,64,4.5,10,10,640,71,11,558,287,0,0,147,4,49,0,0,71,0,0
Comparison_of_disk_cloning_software,1,10.0,21,21,7.0,15,15,315,47,2,266,157,0,0,60,12,37,0,0,0,0,0
Comparison_of_display_technology,1,14.0,29,29,2.5,6,6,174,35,14,125,24,28,1,41,1,12,0,0,11,7,0
Comparison_of_distributed_file_systems,2,3.8793103448275863,6,10,1.3448275862068966,3,4,58,19,2,37,0,0,0,20,5,0,0,0,12,0,0
Comparison_of_document_interfaces,1,3.5,8,8,3.0,7,7,56,13,1,42,31,0,0,7,0,0,3,0,1,0,0
Comparison_of_document_markup_languages,2,11.732342007434944,24,25,2.2676579925650557,5,6,269,54,13,202,44,21,0,93,3,0,2,0,38,1,0
Comparison_of_domestic_robots,1,21.0,43,43,4.0,9,9,387,57,2,328,58,19,0,91,0,112,0,0,48,0,0
Comparison_of_dosimeters,1,6.0,13,13,7.5,16,16,208,27,1,180,33,12,0,108,0,8,13,0,4,2,0
Comparison_of_early_word_processors,1,10.5,22,22,7.0,15,15,330,35,1,294,280,1,0,11,0,0,0,0,2,0,0
